label,text
文化,གཉིས་པ་ ཁམས་ ཀྱི་ ཡུལ་སྐད་ ལ་ དར་མདོོ་ དང་ ། སྡེ་དགེ། དཔལ་ཡུལ། དཀར་མཛེས། བྲག་མགོ། གསེར་རྟ། ཡུལ་ཤུལ། ནང་ཆེན་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ བྱང་རྒྱུད་ ཀྱི་ ཡུལ་སྐད་ དང་ ། ལི་ཐང་ དང་ འབའ་ཐང་ །ཆ་ འཕྲེང་ ། སྡེ་རོང་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ ལྷོ་རྒྱུད་ ཀྱི་ ཡུལ་སྐད། ཡང་ སྟེང་ ཆེན། སྦྲ་ཆེན། ནག་ཆུ་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ འབྲོག་ཁུལ་ གྱི་ ཡུལ་སྐད་ བཅས་ རིགས་ གསུམ་ ཡོད།
文化,གསུམ་པ་ ཨ་མདོ འི་ ཡུལ་སྐད་ ལ་ བསང་ཆུ་ དང་ ཀླུ་ཆུ། དཔའ་རིས། གྲོ་ཚང་ ། བ་ ཡན། གཅན་ ཚ། རེབ་གོང་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ ཞིང་ཁུལ་ གྱི་ ཡུལ་སྐད་ དང་ ། རྩེ་ཁོག་ དང་ རྨ་ཆུ། རྐང་ཚ། མདའ་བཞི། གཅིག་སྒྲིལ། དར་ལག་ སོགས་ ཀྱིས་ མཚོན་ པ འི་ འབྲོག་ཁུལ་ གྱི་ ཡུལ་སྐད་ གཉིས་ ཡོད།ཡུལ་སྐད་ གསུམ་ བར་ ཁྱད་པར་ བྱུང་ བ འི་ རྒྱུ་ རྐྱེན།
文化,༡ ཡུལ་སྐད་ ཀྱི་ ཁྱད་པར་ ནི་ གཙོ་བོ་ སྐད་གདངས་ དང་ །མིང་ །ཚིག་ བཅས་ ལས་ མངོན་ ཞིང་ ། དེ་དག་ ལས་ སྔ་མ་ ནི་ ཁྱད་པར་ འགྲུབ་ པ འི་ རྒྱུ་ གཙོ་བོ་ དེ་ ཡིན་ ཏེ། མདོ་དབུས་ཁམས་གསུམ་ གྱི་ ཡུལ་སྐད་ ལ་ མཚོན་ན། དབྱངས་གསལ་ གྱི་ ཀློག་ཚུལ་ དང་ ། སྔོན་རྗེས་ མགོ་འདོགས་ ཀྱི་ ཡེ་གེ འི་ གདངས་དག་པར་ ཐོན་མིན།དབྱངས་ ཀྱི་ ཡེ་གེའི་ མང་ཉུང་ སོགས་ མི་ གཅིག་པ་ ནི་ ཡུལ་སྐད་ ཕན་ཚུན་ དབར་ གོ་བརྡ་ མི་ འཕྲོད་ པ འི་ རྒྱུ་རྐྱེན་ གཙོ་བོ་ དག་ ཡིན།
文化,༢ སྐད་གདངས་ ཐད། དབུས་གཙང་ གི་ ཡུལ་སྐད་ ལ་ མགོ་འདོགས་ དང་ སྔོན་རྗེས་ ཀྱི་ སྒྲ་གདངས་ དག་ རིམ་པ ས་ ཉམས་ཟིན་ ཏེ་ སྒྲ འི་ ང་རོ་ མང་པོ་ བྱུང་ ཞིང་ ། དབྱངས་ཡིག་ གསར་པ་ མང་པོ་ ཞིག་ བྱུང་ ཡོད།ཁམས་ ཀྱི་ ཡུལ་སྐད་ ལ་ མགོ་འདོགས་ དང་ སྔོན་རྗེས་ ཀྱི་ སྒྲ་གདངས་ དག་ རིམ་པ ས་ ཉམས་ བཞིན་ ཡོད་ པ་ དང་ ། ང་རོ་ དང་ དབྱངས་ཡིག་ གསར་པ་ རིམ་བཞིན་ བྱུང་ མུས་ ཡིན།
文化,ཨ་མདོའི་ ཡུལ་སྐད་ ལ་ མགོ་འདོགས་ དང་ སྔོན་རྗེས་ ཀྱི་ སྒྲ་གདངས་ དག་ ཧ་ལམ་ མ་ ཉམས་ པ ར་ གནས་ ཤིང་ ། ང་ རོ་མེད་ ལ་ དབྱངས་ དེ་ ཙམ་ མང་པོ་ མེད། ༼རྩོམ་ ཁུངས། བོད་ ཀྱི་ ཡུལ་སྐད་ རྣམ་བཤད། ཀྲུང་གོ འི་ བོད་སྐད་ རླུང་འཕྲིན་ དྲ་བ་ ལས་ དྲངས།༽
文化,མི་དམངས་ དྲ་བ འི་ འཕྲིན།སྤྱི་ ཟླ་ 12 ཚེས་ 5 ཉིན་ ( བོད་རྩིས་ ཟླ་ 10 ཚེས་ 25 ཉིན་ )ནི་ བོད་བརྒྱུད་ནང་བསྟན་ གྱི་ དགེ་ལུགས་པ འི་ གྲུབ་མཐའ་ སྲོལ་ གཏོད་ མཁན་ རྗེ་ ཙོང་ཁ་པ་ ཆེན་པོ་ དགོངས་པ་ ཆོས་དབྱིངས་ སུ་ ཐིམ་ པ ར་ རྗེས་དྲན་བྱེད་ པའི “ དགའ་ལྡན་ལྔ་མཆོད ” ཀྱི་ ཉིན་མོ་ ཡིན་ པ་ དང་ ། ཀྲུང་དབྱང་ མི་རིགས་ སློབ་ཆེན་ བོད་རིག་པ་ ཞིབ་འཇུག་ སློབ་གླིང་ གིས་ ཉིན་ དེ་ ལ་ རྗེ་ ཙོང་ཁ་པ་ བློ་བཟང་གྲགས་པ ར་ རྗེས་དྲན་ གྱི་ རིག་གཞུང་ བགྲོ་གླེང་ ཚོགས་འདུ་ སྐབས་ དྲུག་པ་ སྐོང་འཚོགས་བྱས་ པ་ རེད། བགྲོ་གླེང་ ཚོགས་འདུ་ དེ་ ཚན་པ་ གསུམ་ དུ་ དབྱེ་ ནས་ བཤེས་གཉེན་ དམ་པ འི་ ཟབ་མོའི་ གསུང་ གི་ བདུད་རྩི་ དང་ ། རྟེན་འབྲེལ་ བསྟོད་པ་ སྙན་མོ་ ངག་ གི་ མཆོད་པ། རིག་གཞུང་ བགྲོ་གླེང་ ཕྲ་ཞིབ་ རིགས་པ འི་ བྲོ་གར་ བཅས་ ལྟར་ སྤེལ་ བ་ རེད།
文化,མི་དམངས་ དྲ་བ འི་ འཕྲིན། རླངས་འཁོར་ བཏང་ ནས་ རོང་བོ་ ལུང་ཁོག་ བརྒྱུད་ དེ་ ཆུ་ཚོད་ ཕྱེད་ཀ་ ལྷག་ཙམ་ བསྐྱོད་ ན “ རེབ་གོང་ སྒྱུ་རྩལ ” གྱི་ འབྱུང་ཁུངས་ ཏེ། མཚོ་སྔོན་ ཞིང་ཆེན་ རྨ་ལྷོ་ བོད་རིགས་ རང་སྐྱོང་ཀྲོའུ་ ཐུན་རིན་ རྫོང་ དུ་ སླེབས། དེ་ག འི་ ཐང་གའི་ སྒྱུ་རྩལ་ སྐད་གྲགས་ ཆེན་པོ་ ཡོད་ པ་ མ་ ཟད། ཐང་ག འི་ སྒྱུ་རྩལ་ པའང་ ཁྲི་སྟོང་ མང་པོ་ ཡོད།སྐལ་བཟང་རྒྱ་མཚོ་ ནི་ དེ་དག་ ཁྲོད་ ཀྱི་ གཅིག་ རེད།
文化,ལོ་རབས་ བརྒྱད་ཅུ་པ འི་ ནང་ སྐྱེས་ པ འི་ སྐལ་བཟང་རྒྱ་མཚོ་ ནི་ ལྷ་འབྲི་བ་ ཞིག་ ཡིན་ པ་ མ་ ཟད། ད་དུང་ མངོན་མིན་ རིག་གནས་ ཤུལ་བཞག “ རེབ་གོང་ སྒྱུ་རྩལ ” གྱི་ རྒྱུན་འཛིན་པ་ ཞིག་ ཀྱང་ ཡིན་ ཞིང་ ། ད་ཆ་ ཁོང་ ལ་ རེབ་གོང་ མི་རིགས་ རིག་གནས་ ཕོ་བྲང་ འཛུགས་ མཁན་ གྱི་ མཚན་ ཡང་ ཐོབ་ ཡོད།
文化,རེབ་གོང་ ས་ཁུལ་ ནི་ ཐུན་རིན་ རྫོང་ རོང་བོ་ དགུ་ཆུ འི་ རྒྱུད་ དུ་ ཆགས་ ཤིང་ ། སྔོན་མ་ ནས “ བོད་ ཀྱི་ རི་མོ འི་ ཕ་ས ” ཞེས་ འབོད་ ཀྱི་ ཡོད།སེང་ གེ་གཤོང་ གྲོང་ཚོ་ ནི་ ལོ་ བརྒྱ་ཕྲག་ དུ་མ འི་ རིང་ ཐང་ག་ སོགས་ ལྷ་འབྲི ར་ བརྟེན་ ནས་ སྐད་གྲགས་ཆོད་ཡོད།སྐལ་བཟང་རྒྱ་མཚོ་ ནི་ སེང་གེ་ གཤོང་ གྲོང་ཚོ འི་ བོད་རིགས་ ཀྱི་ ཁྱིམ་ཚང་ ཞིག་ ཏུ་ སྐྱེས་ ཤིང་ ། ཁོང་ ལ་ མིང་སྲིང་ བདུན་ ཡོད་ པ་ ལས་ མང་ཆེ་བ ས་ ཐང་གའི་ སྒྱུ་རྩལ་ གཉེར་ བཞིན་ ཡོད།སྐལ་བཟང་རྒྱ་མཚོ་ ཆུང་དུས་ ནས་ རྒན་རབས་པ་ ཚོ ས་ ལྷ་འབྲི་ བར་ ལྟ་ བཞིན་ འཚར་ལོངས་ བྱུང་ བ ས་ དངོས་སུ་ དགེ་རྒན་ བསྟེན་ ནས་ ལོ་ གཉིས་ ཙམ་ ལས་ མ་ འགོར་ བ ར་ རང་མགོ་ ཐོན་ པ་ མ་ ཟད། ད་དུང་ སློབ་མ་ ཡང་ བསྟེན་ འགོ་ཚུགས་ པ་ དང་ ། ལོ་ དེ ར་ ཁོང་ ལོ་ 18 ལ་ སོན་ཙམ་ རེད།རྗེས་ སུ་ སེང་གེ་ གཤོང་ གྲོང་ཚོ འི་ དགོན་པའི་ བྱམས་ཁང་ དུ་ ལྷ་འབྲི་སྐབས། གྲོང་ཚོ་ དེ་ རང་ ནས་ ལྷ་འབྲི་བ་ རྩེ་གྲ་ གསུམ་ བདམས་ པ འི་ ནང་ ལོ་ 20 ལ་ སོན་ པ འི་ སྐལ་བཟང་ རྒྱ་མཚོ་ ཡོད།
文化,དེ་སྔའི་ རེབ་གོང་ གི་ ལྷ་ འབྲི་ བ་ དང་ མི་འདྲ་ བ་ ཞིག་ ལ། སྐལ་བཟང་ རྒྱ་མཚོས “ རི་མོ་ འབྲི་སྲོལ་ ཁོ་ན་ སྦྱོང་ བ་ ལས་ རིག་གནས་ མི་ སྦྱོང་ བ ” ནི་ རེབ་གོང་ སྒྱུ་རྩལ་ རྒྱུན་འཛིན་ ཐད་ ཀྱི་ ཞན་ས་ ཡིན་ པ འི་ ངོས་འཛིན་ བྱེད་ ཀྱི་ ཡོད། lineEnd“ སྒྱུ་རྩལ་པ་ མང་པོ་ ཞིག་ གིས་ རི་མོ་ ཡག་པོ་ འབྲི་ ཐུབ་ ཀྱང་ ། འགྲེལ་བཤད་ དང་ སྤེལ་རེས་བྱེད་ མི་ ཤེས་ པ་ མ་ ཟད། ཐང་ག འི་ ཤུགས་ སུ་ ཡོད་ པ འི་ རིག་གནས་ ཀྱི་ གོ་དོན་ དེ་བས་ ཀྱང་ ཤེས་ ཀྱི་ མེད ” འདི་ ལྟ་བུ འི་ ལྷ་འབྲི་བ་ ནི་ བཟོ་པ་ ལྟ་བུ་ ཡིན་ པས། དེ འི་ བརྩམས་ཆོས་ ཀྱང་ བཟོ་ པ འི་ འབྲི་སྟངས་ ཁོ་ན་ ཡིན་ པ ས་ ཐང་གར་ རྒྱུས་ཆེ་བ་ ཞིག་ གིས་ བལྟས་ པ་ ཙམ་གྱིས་ དེ ར་ རིག་གནས་ ཀྱིས་ དབེན་པ་ ཤེས་ ཐུབ། lineEnd“ འབྲི་རྩལ་ དང་ རིག་གནས་ གཉིས་ ནི་ གཤོག་པ་ ཟུང་ དང་ འདྲ་ བ ར་ གང་ཆད་ ཀྱང་ རེབ་གོང་ སྒྱུ་རྩལ་ གྱི་ བྱ་ཁྱུང་ འདི་ རོང་བོ་ འགག་ ནས་ ཕྱིར་འཕུར་དཀའ ” རང་ གི་ འདོད་ཚུལ་ ལག་ལེན་ བྱ་ ཆེད། 2002 ལོ ར་ སྐལ་བཟང་རྒྱ་མཚོས་ ལག་སྣེ འི་ ལས་ཀ་ ཚང་མ་ བསྐྱུར་ ནས་ མགོ་ལོག་ ཤེས་རིག་ སློབ་གླིང་ དུ་ ལོ་ 6 ཟབ་ སྦྱོང་ བྱས།
文化,ལོ་ དྲུག་པོ་ དེ་ ཁོང་ རང་ ལ་ མཚོན་ ན་ རང་ཉིད་ ཤེས་བྱ་ གཏོང་ བ འི་ དུས་མཚམས་ ཤིག་ ཡིན་ ཏེ། “ སློབ་སྦྱོང་བྱས་ པ་ བརྒྱུད། མེས་རྒྱལ་ གྱི་ རྒྱུན་རིང་བ འི་ ལོ་རྒྱུས་ དང་ ཀྲུང་ཧྭ་ མི་རིགས་ ཀྱི་ འོད་སྟོང་ འབར་ བ འི་ རིག་གནས་ རྒྱུས་ལོན་ པ་ མ་ ཟད། རང་ གིས་ བྲིས་ པ འི་ རི་མོ་ ཡང་སྙིང་ གང་ཞིག་ ཡིན་ པ་ དང་ ཐང་ག འི་ སྒྱུ་རྩལ་ འདི་ གནའ་ ནས་ ད་བར་ རྒྱུན་འཛིན་ བྱུང་ བ འི་ གསང་བ་ ཡང་ རིམ་གྱིས་ ཤེས་ སོང ” ཐང་ག འི་ འབྲི་རྩལ་ ནས་ ཐང་ག འི་ རིག་གནས་ བར་ གྱི་ འཕེལ་རྒྱས་ ནི་ ངོས་འཛིན་ ཐད་ ཀྱི “ གསར་སྒྱུར་ ཐོན་བརྗེ ” ཞིག་ ཡིན་ པ་ རེད། lineEnd2010 ལོ ར་ སྐལ་བཟང་རྒྱ་མཚོས་ རེབ་གོང་ མི་རིགས་ རིག་གནས་ ཕོ་བྲང་ འཛུགས་ རྒྱུ འི་ གྲབས་གཤོམ་ བྱས་ པ ར་ ས་གནས་ དེ་ག འི་ སྲིད་གཞུང་ གི་ རྒྱབ་སྐྱོར་ ཐོབ་ པ་ རེད། “ ང་ཚོ ས་ 2008 ལོ་ ནས་ རྒྱལ་ཁབ་ རིམ་པ འི་ རེབ་གོང་ རིག་གནས་ སྣོད་བཅུད་ སྲུང་སྐྱོང་ ཚོད་ལྟ་ཁུལ་ བཙུགས་ ཏེ་ ཕྱོགས་ མང་པོ འི་ ཐད་ ནས་ རེབ་གོང་ སྒྱུ་རྩལ་ པར་ རོགས་སྐྱོར་ དང་ རེབ་གོང་ གི་ སྒྱུ་རྩལ་ ཁྱབ་སྤེལ་ བཏང་ ཡོད ” ཅེས་ མཚོ་སྔོན་ ཞིང་ཆེན་ རིག་གནས་ གསར་འགྱུར་ པར་སྐྲུན་ ཐིང་ གི་ ཐིང་ཀྲང་ གཞོན་པ་ ཁུང་རུང་ གིས་ བཤད། lineEnd2012 ལོ ར་ རིག་གནས་ ཕོ་བྲང་ དངོས་སུ་ གཉེར་སྐྱོང་བྱས་ ཤིང་ ། དེ་ ནི་ ཐང་ག་ འབྲི་ས་ ཞིག་ ཡིན་ པ་ མ་ ཟད། ཐང་ག འི་ སྒྱུ་རྩལ་ རྒྱུན་འཛིན་ བྱེད་ས འི་ སློབ་ཁང་ ཞིག་ ཀྱང་ རེད། ད་ཆ་ རིག་གནས་ ཕོ་བྲང་ དེ ར་ སློབ་མ་ 2000 ལྷག་ཙམ་ ཡོད་ ཅིང་ ། ཁོང་ ཚོ ས་ ལོ་ ལྔ འི་ རིང་ སྔ་དྲོ་ བོད་རྒྱ་ སྐད་ གཉིས་ ཀྱི་ རིག་གནས་ སློབ་ཚན་ དང་ ཕྱི་དྲོ་ ཐང་ག་ འབྲི་ སྟངས་ སྦྱོང་ དགོས་ ཀྱི་ ཡོད།ཐང་ག་ ཁྲོམ་ར ར་ བཏོན་ འཕྲལ་ དགའ་བསུ་ ཆེན་པོ་ ཐོབ་ པ ས་ ད་ཆ་ ཐང་ག འི་ ལོ་རེའི་ ཐོན་རྫས་ རིན་ཐང་ སྒོར་ དུང་ཕྱུར་ 2 ཟིན་ གྱི་ ཡོད། “ ཉེ་བ འི་ ལོ་ཤས་ རིང་ པེ་ཅིང་ དང་ ། ཐེན་ཅིན། ཧྲང་ཧའེ་ སོགས་ དང་ ། དེ་ བཞིན་ རྒྱལ་ཕྱིར་ ཐང་ག འི་ སྒྱུ་རྩལ་ གྱི་ བརྩམས་ཆོས་ རྩེ་གྲ་ འགྲེམས་སྟོན་ ཐེངས་ མང་ བྱས་ པ ར་ ཚུར་སྣང་ ལན་ཆ་ ཡག་པོ་ བྱུང་ ནས། མངགས་ཐོ་ མི་ཉུང་བ་ ཞིག་ འབྱོར་ ཡོད ” ཅེས་ མཚོ་སྔོན་ ཞིང་ཆེན་ རིག་གནས་ ཁྲུའུ་ ཡི་ ཁྲུའུ་ཀྲང་ ཏེང་ཧྥུའུ་ལིང་ གིས་ བཤད།
文化,རྒྱང་རིང་ གི་ གངས་རི་ ལས་ འོད་ལམ་ལམ་ དུ་ འཚེར་ ཞིང་ ། རིག་གནས་ ཕོ་བྲང་ གི་ གསར་དུ་ བརྒྱབ་ པ འི་ སློབ་ཁང་ གི་ སྒྲོམ་གཞི་ བསླངས་ ཚར་ བ ས་ དེ་གར་ ཡུན་རིང་ མ་ འགོར་ བ ར་ ལྷ་འབྲི་ སྦྱོང་ མཁན་ སྔར་བས་ མང་པོ་ འདུ་ རྒྱུ་ རེད།
